train_bce_mask:6.149488192812556 train_dice:0.9146573704050335 train_bce_center:0.0129220320484431 train_dice_center:0.08512526242423092 train_l2_width:0.2588162354549543 train_l2_height:0.2099367409251389 train_loss:0.5668002702178717 
train_bce_mask:5.164486882996092 train_dice:0.9423188233047054 train_bce_center:0.008198265086905389 train_dice_center:0.07705605250587635 train_l2_width:0.15149295470286284 train_l2_height:0.11250570329784823 train_loss:0.3492529757315478 
train_bce_mask:4.876233182553943 train_dice:0.9681003994920965 train_bce_center:0.0073235084577707825 train_dice_center:0.07699644427808668 train_l2_width:0.1069586649080655 train_l2_height:0.08153135984219118 train_loss:0.27280997750384234 
train_bce_mask:4.493889570409099 train_dice:0.9783688356601474 train_bce_center:0.006970932444981674 train_dice_center:0.07697705435099479 train_l2_width:0.08236221460699143 train_l2_height:0.0659587219249883 train_loss:0.23226892338524932 
train_bce_mask:4.274410243249902 train_dice:0.9796737217372934 train_bce_center:0.006813571217634434 train_dice_center:0.07696649267484319 train_l2_width:0.06610871664999633 train_l2_height:0.054667184948949905 train_loss:0.2045559652963712 
train_bce_mask:4.046043762182134 train_dice:0.9792482249397341 train_bce_center:0.006709884662675953 train_dice_center:0.07696067781996001 train_l2_width:0.05454133758192523 train_l2_height:0.04678560132559246 train_loss:0.18499750140329504 
train_bce_mask:3.8516356645357734 train_dice:0.9792233647457609 train_bce_center:0.00664119018997717 train_dice_center:0.0769510632923383 train_l2_width:0.047386191343199324 train_l2_height:0.04204976100011186 train_loss:0.1730282057994283 
train_bce_mask:3.7535385282137037 train_dice:0.9791847169327222 train_bce_center:0.006565994948271643 train_dice_center:0.07694805018353468 train_l2_width:0.041704535599069024 train_l2_height:0.036349765087550126 train_loss:0.1615683457338928 
train_bce_mask:3.4753739349156842 train_dice:0.9791923603027202 train_bce_center:0.006511083341505066 train_dice_center:0.07694643675913579 train_l2_width:0.03734199269020181 train_l2_height:0.03313571253793365 train_loss:0.15393522532523068 
train_bce_mask:3.4192863560137843 train_dice:0.979196911218923 train_bce_center:0.006464074692894417 train_dice_center:0.07695195729807577 train_l2_width:0.034307958489652665 train_l2_height:0.030052964829257043 train_loss:0.1477769551357916 
train_bce_mask:3.348761813203177 train_dice:0.9791555421520092 train_bce_center:0.006419016011673863 train_dice_center:0.07694277201898726 train_l2_width:0.03020798048444168 train_l2_height:0.026891252418430933 train_loss:0.14046102087851997 
train_bce_mask:3.292364951577024 train_dice:0.9791186378720823 train_bce_center:0.006384556964978554 train_dice_center:0.07694768909331622 train_l2_width:0.02766761221017219 train_l2_height:0.025754139764654387 train_loss:0.13675399794310136 
train_bce_mask:3.2518624811608174 train_dice:0.9792703641823937 train_bce_center:0.006333614612955637 train_dice_center:0.07694093732927368 train_l2_width:0.025384423992792872 train_l2_height:0.02313533300952164 train_loss:0.13179430875414835 
train_bce_mask:3.152236918766832 train_dice:0.9793218223259649 train_bce_center:0.006293527681841106 train_dice_center:0.07694253309523826 train_l2_width:0.02300658396616081 train_l2_height:0.021589276220354347 train_loss:0.12783192079140565 
train_bce_mask:3.1335544819010033 train_dice:0.979410832144945 train_bce_center:0.006253662314466324 train_dice_center:0.07685166855084023 train_l2_width:0.02207344376133358 train_l2_height:0.020520685685886098 train_loss:0.1256994601885694 
train_bce_mask:3.114442922425264 train_dice:0.9793854173410622 train_bce_center:0.006262137423481514 train_dice_center:0.07647786210031074 train_l2_width:0.02046289109805131 train_l2_height:0.01851675392540835 train_loss:0.12171964456500828 
train_bce_mask:3.0847403389375394 train_dice:0.9792095481528157 train_bce_center:0.006199546774946323 train_dice_center:0.07608063856411273 train_l2_width:0.019484611726580975 train_l2_height:0.01747987408244488 train_loss:0.1192446711405856 
train_bce_mask:3.0924403772914295 train_dice:0.9789902786284159 train_bce_center:0.0061702284307570505 train_dice_center:0.07566963710883172 train_l2_width:0.017494739247117922 train_l2_height:0.016333976651295157 train_loss:0.11566858132276842 
train_bce_mask:3.058094276677649 train_dice:0.9790101719271425 train_bce_center:0.006116750118936573 train_dice_center:0.07517897809797333 train_l2_width:0.01712358546941531 train_l2_height:0.015868890022869446 train_loss:0.11428820366948908 
train_bce_mask:3.075753105300505 train_dice:0.9789659551355843 train_bce_center:0.006089129019359787 train_dice_center:0.07466859197577676 train_l2_width:0.015445734803860148 train_l2_height:0.014393142846821324 train_loss:0.11059659860752648 
train_bce_mask:3.0452340902670127 train_dice:0.9789558454847347 train_bce_center:0.006063737001532096 train_dice_center:0.07428227999585967 train_l2_width:0.014973666702666975 train_l2_height:0.013912324413070975 train_loss:0.10923200801054521 
train_bce_mask:2.9957489876289545 train_dice:0.9791290555595055 train_bce_center:0.005992577895355528 train_dice_center:0.07385530421482873 train_l2_width:0.014055600401924363 train_l2_height:0.013034451004903792 train_loss:0.10693793331158313 
train_bce_mask:2.9326302267544393 train_dice:0.9790895303609091 train_bce_center:0.005958841116303127 train_dice_center:0.07357299803934698 train_l2_width:0.013508638071220666 train_l2_height:0.012365315344319934 train_loss:0.10540579252551943 
train_bce_mask:2.946376654443056 train_dice:0.9790286391807806 train_bce_center:0.0059082129378576825 train_dice_center:0.0732171246712158 train_l2_width:0.012674128945822002 train_l2_height:0.011652051250738805 train_loss:0.10345151775703644 
train_bce_mask:2.88187216450288 train_dice:0.9790809445690065 train_bce_center:0.0058436200759065865 train_dice_center:0.07284601477346458 train_l2_width:0.011937410408228677 train_l2_height:0.011257844490968765 train_loss:0.10188488962913528 
train_bce_mask:2.856350640729628 train_dice:0.9790172028259174 train_bce_center:0.005811676032956467 train_dice_center:0.07244169282762287 train_l2_width:0.011784526671651637 train_l2_height:0.0108206311914127 train_loss:0.10085852664429582 
train_bce_mask:2.845783303145311 train_dice:0.979055827298486 train_bce_center:0.005773360622525152 train_dice_center:0.07214070191836051 train_l2_width:0.010897493214272292 train_l2_height:0.010191359168597525 train_loss:0.09900291486385943 
train_bce_mask:2.835018978909591 train_dice:0.9791300801917323 train_bce_center:0.005743078912704227 train_dice_center:0.07178663891119487 train_l2_width:0.0102021099236333 train_l2_height:0.009548908551144503 train_loss:0.09728073616977444 
train_bce_mask:2.872590684302913 train_dice:0.9791997480225326 train_bce_center:0.005728853093563757 train_dice_center:0.07156878524654177 train_l2_width:0.010528713085240437 train_l2_height:0.009896557594295268 train_loss:0.09772290898487422 
train_bce_mask:2.831491008656654 train_dice:0.9791341815877715 train_bce_center:0.005649194697724961 train_dice_center:0.07112146408430167 train_l2_width:0.009270161588607388 train_l2_height:0.00873305008808648 train_loss:0.0947738703460056 
train_bce_mask:2.7623957126129643 train_dice:0.9790036023772509 train_bce_center:0.005628098512795754 train_dice_center:0.07086852152041906 train_l2_width:0.009119023016454949 train_l2_height:0.008648195118892496 train_loss:0.09426383819302298 
train_bce_mask:2.778423768355416 train_dice:0.9790141863583193 train_bce_center:0.005404686955952328 train_dice_center:0.0698939968784787 train_l2_width:0.006876927457491743 train_l2_height:0.006506556081946622 train_loss:0.08868216727435921 
train_bce_mask:2.7944161564018057 train_dice:0.9789820465022653 train_bce_center:0.00534362333456623 train_dice_center:0.06947435641736477 train_l2_width:0.005558381389899362 train_l2_height:0.00540076106055889 train_loss:0.08577712207621989 
train_bce_mask:2.783621328534612 train_dice:0.9789557292146155 train_bce_center:0.005309128377810373 train_dice_center:0.06920406821163375 train_l2_width:0.0048565297480726065 train_l2_height:0.004813902558158234 train_loss:0.0841836288633491 
train_bce_mask:2.7953798133508 train_dice:0.9789290038289326 train_bce_center:0.0052846533382029616 train_dice_center:0.06901979954732712 train_l2_width:0.004440703199054021 train_l2_height:0.004430689478330572 train_loss:0.08317584559008036 
train_bce_mask:2.7906460338437618 train_dice:0.9789514208664086 train_bce_center:0.005262028216260535 train_dice_center:0.06878293607431692 train_l2_width:0.004113446579518277 train_l2_height:0.004146499249426304 train_loss:0.08230490991897504 
train_bce_mask:2.7906476161547378 train_dice:0.9789377401668667 train_bce_center:0.005239724699833406 train_dice_center:0.06856889157932623 train_l2_width:0.0038615552608426552 train_l2_height:0.003928715727459829 train_loss:0.08159888715879235 
train_bce_mask:2.7989153014826895 train_dice:0.9789187992745793 train_bce_center:0.005216498254722487 train_dice_center:0.06838327749450628 train_l2_width:0.0036687456471746174 train_l2_height:0.00373632459332732 train_loss:0.08100484591495206 
train_bce_mask:2.81226209640964 train_dice:0.978919072862348 train_bce_center:0.0051990708303647935 train_dice_center:0.06819753451122015 train_l2_width:0.0035367859801974716 train_l2_height:0.003593925298398999 train_loss:0.08052731642365844 
train_bce_mask:2.8152135605105517 train_dice:0.9789151815017237 train_bce_center:0.005183785913477442 train_dice_center:0.06806030291712764 train_l2_width:0.00339932965725858 train_l2_height:0.003470577650356889 train_loss:0.08011399602649406 
train_bce_mask:2.8174510758252196 train_dice:0.9789369986314891 train_bce_center:0.0051608625192155555 train_dice_center:0.06788046104715971 train_l2_width:0.003259087216360412 train_l2_height:0.0033486812742861078 train_loss:0.07964909187629945 
train_bce_mask:2.815781066750224 train_dice:0.9789416786982928 train_bce_center:0.005147036405202341 train_dice_center:0.06776429707954795 train_l2_width:0.003155246918686932 train_l2_height:0.0032519053557513496 train_loss:0.07931848558812707 
train_bce_mask:2.8250143512424306 train_dice:0.9789369194035603 train_bce_center:0.005129848063500418 train_dice_center:0.06761406096549881 train_l2_width:0.0030637773522922966 train_l2_height:0.003143436277701916 train_loss:0.07895112260392691 
