train_bce_mask:0.17730690017342568 train_dice:0.7941073909401893 train_bce_center:0.03911528936587274 train_dice_center:0.43899688497185707 train_l2_width:0.07143376832827926 train_l2_height:0.07065761634148657 train_loss:1.591617837548256 
train_bce_mask:0.2678761798888445 train_dice:0.5848087534308434 train_bce_center:0.03235509018413722 train_dice_center:0.43924732133746147 train_l2_width:0.06493032365106047 train_l2_height:0.06422220263630152 train_loss:1.453439873456955 
train_bce_mask:0.27435257397592067 train_dice:0.4968656040728092 train_bce_center:0.02721601091325283 train_dice_center:0.4388966366648674 train_l2_width:0.05029388288967311 train_l2_height:0.051619552867487074 train_loss:1.3392442524433137 
train_bce_mask:0.2669766917824745 train_dice:0.4626061648130417 train_bce_center:0.02227040440775454 train_dice_center:0.4389890477061272 train_l2_width:0.04787565041333437 train_l2_height:0.04515087269246578 train_loss:1.2838688343763351 
train_bce_mask:0.25817985385656356 train_dice:0.44246644601225854 train_bce_center:0.01894855594728142 train_dice_center:0.4394170343875885 train_l2_width:0.0433568415697664 train_l2_height:0.04087081355974078 train_loss:1.2432395383715629 
train_bce_mask:0.250624755397439 train_dice:0.432968320697546 train_bce_center:0.017540678102523088 train_dice_center:0.4397003658115864 train_l2_width:0.03806567620486021 train_l2_height:0.03638655641116202 train_loss:1.2152863547205925 
train_bce_mask:0.2411084219813347 train_dice:0.4203124329447746 train_bce_center:0.016888917167671026 train_dice_center:0.4396450504660606 train_l2_width:0.03607161520048976 train_l2_height:0.034479603287763894 train_loss:1.188506042957306 
train_bce_mask:0.2430726673454046 train_dice:0.41989860534667967 train_bce_center:0.016596551961265506 train_dice_center:0.43961628898978233 train_l2_width:0.03648039954714477 train_l2_height:0.03346792310476303 train_loss:1.1891324400901795 
train_bce_mask:0.23419561348855494 train_dice:0.413497868925333 train_bce_center:0.015900034876540303 train_dice_center:0.438196037709713 train_l2_width:0.03175673300866037 train_l2_height:0.030348497908562422 train_loss:1.163894784450531 
train_bce_mask:0.22833568193018436 train_dice:0.4100749358534813 train_bce_center:0.016130531043745577 train_dice_center:0.4349425368010998 train_l2_width:0.03183460962027311 train_l2_height:0.029233645112253726 train_loss:1.1505519315600394 
train_bce_mask:0.22513713091611862 train_dice:0.40755489468574524 train_bce_center:0.016709877504035832 train_dice_center:0.4329431846737862 train_l2_width:0.03068871502764523 train_l2_height:0.028530032373964787 train_loss:1.141563819348812 
train_bce_mask:0.22045569345355034 train_dice:0.4050180770456791 train_bce_center:0.01610676709096879 train_dice_center:0.4310146600008011 train_l2_width:0.027600475400686265 train_l2_height:0.025268727168440818 train_loss:1.1254644080996514 
train_bce_mask:0.21694969460368158 train_dice:0.40240777283906937 train_bce_center:0.015751061961054802 train_dice_center:0.4296045310795307 train_l2_width:0.028188491449691357 train_l2_height:0.02562581584788859 train_loss:1.1185273662209512 
train_bce_mask:0.21603285297751426 train_dice:0.4053701713681221 train_bce_center:0.015567161538638175 train_dice_center:0.42797222137451174 train_l2_width:0.025133598316460847 train_l2_height:0.023468912206590177 train_loss:1.1135448932647705 
train_bce_mask:0.21620959751307964 train_dice:0.40148348808288575 train_bce_center:0.014992525894194841 train_dice_center:0.42556601837277414 train_l2_width:0.023672463465481998 train_l2_height:0.020829396788030863 train_loss:1.1027534931898118 
train_bce_mask:0.21373332515358925 train_dice:0.4046958662569523 train_bce_center:0.014897093083709479 train_dice_center:0.4248052828013897 train_l2_width:0.02337399935349822 train_l2_height:0.022314650798216464 train_loss:1.1038202032446862 
train_bce_mask:0.21260784268379213 train_dice:0.4017721459269524 train_bce_center:0.0145103111397475 train_dice_center:0.4220313109457493 train_l2_width:0.02413314417935908 train_l2_height:0.021279629296623172 train_loss:1.0963343650102615 
train_bce_mask:0.20291737113147973 train_dice:0.4032712571322918 train_bce_center:0.014528414420783519 train_dice_center:0.42048774361610414 train_l2_width:0.021232718625105916 train_l2_height:0.018848473485559226 train_loss:1.081285984814167 
train_bce_mask:0.1944752648472786 train_dice:0.392213861644268 train_bce_center:0.01450675872620195 train_dice_center:0.4207623854279518 train_l2_width:0.02272861634846777 train_l2_height:0.02143320443574339 train_loss:1.0661200821399688 
train_bce_mask:0.1766810555011034 train_dice:0.36725016459822657 train_bce_center:0.014595235465094447 train_dice_center:0.42035108581185343 train_l2_width:0.02446224729064852 train_l2_height:0.02095711249858141 train_loss:1.024296897649765 
train_bce_mask:0.1713806362822652 train_dice:0.3528162442147732 train_bce_center:0.014097164035774767 train_dice_center:0.41789120361208915 train_l2_width:0.021482123085297643 train_l2_height:0.019822243321686982 train_loss:0.9974896103143692 
train_bce_mask:0.16541871465742589 train_dice:0.3439688853919506 train_bce_center:0.013168603391386568 train_dice_center:0.41532786265015603 train_l2_width:0.019438169011846185 train_l2_height:0.017990958178415895 train_loss:0.9753132000565529 
train_bce_mask:0.16347033083438872 train_dice:0.33727152869105337 train_bce_center:0.013066252134740353 train_dice_center:0.41577035561203957 train_l2_width:0.020005619921721517 train_l2_height:0.017224643658846617 train_loss:0.966808733344078 
train_bce_mask:0.15850839484483004 train_dice:0.3357719898223877 train_bce_center:0.012370509398169815 train_dice_center:0.41026443168520926 train_l2_width:0.018474097037687896 train_l2_height:0.01673866077326238 train_loss:0.9521280750632286 
train_bce_mask:0.1600203039124608 train_dice:0.3329665035009384 train_bce_center:0.012899881787598133 train_dice_center:0.4003131665289402 train_l2_width:0.01829032020177692 train_l2_height:0.017139382322784513 train_loss:0.9416295558214187 
train_bce_mask:0.1578735826537013 train_dice:0.3298680793493986 train_bce_center:0.013194534392096103 train_dice_center:0.3990086629986763 train_l2_width:0.018163355463184417 train_l2_height:0.015934213856235148 train_loss:0.9340424194931984 
train_bce_mask:0.15453176219016312 train_dice:0.32815278097987177 train_bce_center:0.013103595259599388 train_dice_center:0.39541344791650773 train_l2_width:0.016962924436666072 train_l2_height:0.015505789720918983 train_loss:0.9236703127622604 
